item,supermarket,price_lbp
Sugar Ghandour 5kg,Supermarket A,210000
Sugar Ghandour 5kg,Supermarket B,217400
Tuna La Bella,Supermarket A,39000
Tuna La Bella,Supermarket B,50000
Labneh Taanyel,Supermarket A,92000
Labneh Taanyel,Supermarket B,96500
Halloumi Taanyel,Supermarket A,492000
Halloumi Taanyel,Supermarket B,144500
Eggs Hawa Chicken,Supermarket A,174000
Eggs Hawa Chicken,Supermarket B,176000
Oil Plein Soleil 1.8L,Supermarket A,214000
Oil Plein Soleil 1.8L,Supermarket B,231500
Milk Candia 1L,Supermarket A,60000
Milk Candia 1L,Supermarket B,60000
Pasta Divella,Supermarket A,30500
Pasta Divella,Supermarket B,28500
Rice Maling,Supermarket A,107000
Rice Maling,Supermarket B,105000
Chtoura Fava Beans,Supermarket A,22000
Chtoura Fava Beans,Supermarket B,21650
