date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2020-05-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,4100.97,2.72
2020-06-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,5371.35,3.57
2020-07-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,8428.57,5.6
2020-08-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,7420.32,4.93
2020-09-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,7724.17,5.14
2020-10-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,7797.58,5.17
2020-11-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,7806.67,5.18
2020-12-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,8296.61,5.51
2021-01-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,8792.26,5.84
2021-02-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,9120.0,6.06
2021-03-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,11775.16,7.82
2021-04-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,12234.17,8.13
2021-06-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,15157.5,10.09
2021-07-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,19435.48,12.91
2021-08-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,19607.26,13.02
2021-09-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,16660.0,11.08
2021-10-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,19734.29,13.11
2021-11-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,22701.0,15.08
2021-12-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,26108.55,17.34
2022-02-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,20928.64,13.9
2022-03-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,22707.0,15.08
2022-06-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,28602.47,19.0
2022-07-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,29508.1,19.6
2022-08-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,32066.71,21.3
2022-09-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,36740.0,24.4
2022-10-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,38829.06,25.79
2022-11-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,39460.2,26.21
2022-12-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,43422.74,28.84
2023-01-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,49723.16,33.03
2023-02-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,73045.14,4.87
2023-04-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,97813.87,6.52
2023-05-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,94651.81,6.31
2023-06-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,93280.6,6.22
2023-07-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,91621.13,6.11
2023-09-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89561.8,5.97
2023-10-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89658.26,5.98
2023-12-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,5.98
2024-01-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,5.98
2024-02-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,5.98
2024-03-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2024-04-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2024-05-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.01
2024-06-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2024-08-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2024-09-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2024-11-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2024-12-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-01-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-03-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-04-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-05-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-06-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.01
2025-07-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-08-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-09-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-10-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-11-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2025-12-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
2026-01-15,Beirut,Beirut,Beirut,1689,33.89,35.5,non-food,Exchange rate (unofficial),473,USD/LCU,aggregate,Retail,LBP,89700.0,1.0
